id,channel,tag,views,age,video_id,title
V01,Rumi English Stories,HIT,88483,46,6espgQlpLFc,Golden Rumi VS Silver Mira & Zoey ? 
V02,Geo Study,FLOP,29368,222,fXod-dty0yo,राज्यों का पुनर्गठन  | Reorganization of States and Union Territories | Indian Polity l Geo Study
V03,Fantasy Mathematics,FLOP,13383,89,NqCSVN5Uf-Y,CSK vs MI Dream11 Team Prediction || Chennai Super Kings vs Mumbai Indians Match Prediction || 
V04,Wildlife Unseen Explained,HIT,1513837,4,jxJULEhebl0,😱🔥 हनी बैजर Vs तेंदुआ 🔥😱#shorts #viral #trending #wildlife #facts #animals #new #ytshorts #hindi #hd
V05,Tech Explained,HIT,89832,299,WKkLe18KjRg,Every NVIDIA GPU GeForce Series Explained in 12 Minutes
V06,Plane Curious,FLOP,4467,45,mF5NkLJl5iY,Why Transatlantic Flights Always Follow The Same Paths
V07,Geo Study,FLOP,11051,301,5G4GUAAu88M,UPPSC Prelims Paper 2024 Solution | Analysis | Imp for UP PCS 2025 #pcs #pcs2025 #uppcs | Geo Study
V08,Wildlife Unseen Explained,HIT,4597327,10,dkaam0PrYLs,😱🤯हॉर्न बिल पक्षी की चालाक चाल🤯😱#shorts #facts #viral #trending #new #birds #wildlife #animals #hd
V09,Plane Curious,FLOP,5590,80,BFZqziPgTuw,Why Modern Planes Don’t Fly Faster
V10,Plane Curious,HIT,192545,62,fLL9Eapa3O0,Why Delta Abandoned One Of America’s Biggest Hubs
V11,Wildlife Unseen Explained,FLOP,16168,24,zvbcbvmiiP4,🦁400 लकड़बग्घों का दुश्मन...आखिर कैसे हुआ स्कार का अंत?😢🔥#shorts #viral #trending #ytshorts #animals
V12,Plane Curious,HIT,166665,17,LOZSfTx32B8,JetZero Is Coming - Why Airbus Is Weirdly Nervous
V13,WILD NATURE - Nature animal documentary,FLOP,7930,25,mFNnaTw4sNc,Wild Alaska | Survival in the Land of Ice and Apex Predators | Wildlife Documentary
V14,Fantasy Mathematics,FLOP,13086,84,lmPlbe0EOt4,LSG vs RCB Dream11 Team Prediction || Lucknow Super Giants vs Royal Challengers Bangalore Prediction
V15,Tech Explained,HIT,216395,337,wCF5KJCHG7Q,Every Linux Distro Explained in 11 Minutes
