channel,tag,views,age,video_id,title
How Money Works Uncut,HIT,2501859,677,CrH6jyZ5j7g,The (Overly) Realistic Financial System of EVE Online
How Money Works Uncut,HIT,726231,179,bdWzXAzzqYA,"The New ""Unemployable"" Class"
How Money Works Uncut,HIT,714089,536,c5Kdv1t0NsE,What Happens to the Global Economy When All The Boomers... Die?
How Money Works Uncut,FLOP,43537,692,yFZ6OBcYy24,Why Your Job (probably) Sucks Right Now…
How Money Works Uncut,FLOP,29749,629,W4K52y-2bh4,"The Rise And Fall of Corporate Social ""Responsibility"""
How Money Works Uncut,FLOP,28609,646,wjF8Adepc6U,"How the Business Deals in The Big Short, Wolf of Wall Street & Succession Actually Worked"
Imagine the Physics,HIT,501645,191,2KHuDkhnu3U,Richard Feynman Explains What Everyone Gets Wrong About GRAVITY
Imagine the Physics,HIT,385873,149,4QSCXAQaz0k,Why Does Time Stop at the SPEED OF LIGHT? Feynman's Mind-Blowing Truth
Imagine the Physics,HIT,366091,203,OR3SDvqI_lE,Richard Feynman Explains The Big Misconception About ELECTRICITY
Imagine the Physics,FLOP,33268,182,Tw65-42Lkis,Why Does Antimatter EXIST AT ALL? Feynman’s Answer Will SHATTER Your Reality
Imagine the Physics,FLOP,21380,147,FpmacMauGFI,Something Cool Happens at Low Temperatures (Feynman Was Right)
Imagine the Physics,FLOP,19039,154,d_7E2yjhN2I,Something Strange About Interstellar Travel Nobody Talks About
Joe Bart Philosophy,HIT,3019199,209,SvwfkTmyHFU,Why Space Is Genuinely Terrifying
Joe Bart Philosophy,HIT,2706025,258,OIuMVLxOrpE,The 4 Levels Of Fear...
Joe Bart Philosophy,HIT,1813479,273,OgWfiy7XP7w,Does Bullying Create School Shooters?
Joe Bart Philosophy,FLOP,270914,217,TmOI0BS15cY,What Are You Without Your Memory?
Joe Bart Philosophy,FLOP,185217,252,TCri7DZk_tk,The Beauty And Horror Of Specialized Labor
Joe Bart Philosophy,FLOP,160011,1,_-e0eFbKyys,The World Throws Away The Unemployed
Pilot Debrief,HIT,6564245,150,C2ciF6DC2G4,YouTube Pilot's Deadly Mistake Was Worse Than We Thought!
Pilot Debrief,HIT,3008550,220,eXgb2vsA6GQ,Instagram Pilot's Emergency Caught on Camera!
Pilot Debrief,HIT,2355931,179,ibYHHw1iIhs,Greg Biffle Plane Crash: NTSB's Shocking Update!
Pilot Debrief,FLOP,393986,192,cn5PAuXKgwU,747 Pilot's Landing Turns Deadly!
Pilot Debrief,FLOP,276314,38,KRVejB4b2NE,5 Deadliest Pilot Mistakes That Got Skydivers Killed!
Pilot Debrief,FLOP,159105,115,hnTPFPgTRN4,F-15E Pilots React to F-15E Shot Down in Iran! (with Max Afterburner)
Air Crash Investigation,HIT,4485840,881,ZZbA5JitHf0,Horrific Freefall into the Deepest Ocean | The Sad Story of Flight 447
Air Crash Investigation,HIT,4476520,871,tJLTxFOxj4s,No Fuel Over the Atlantic Ocean | The Story of Flight 236
Air Crash Investigation,HIT,2446118,639,RcVycXEinJ0,They Just Ripped Off – A Simple Mistake with Dire Consequences
Air Crash Investigation,FLOP,51427,110,38lZhcc316s,"Plane Ripped Open at 22,000 Feet Above Ocean!"
Air Crash Investigation,FLOP,39372,98,Mr0t2oL4Y54,Mapping the Air Canada Crash at LaGuardia Airport NewYork
Air Crash Investigation,FLOP,22779,49,EJ0bTyhgOpU,Miracle Landing on the Hudson River | US Airways 1549
