niche,channel_id,title,subs,n_long,median,mean,skew,hits,hit_rate,min,max,spread,newest_days,oldest_days
space,UCNZegH5HQPx_chNsPqJw1Rw,Sleepy Science Channel,319000,50,21539,29914,1.39,1,2.0,6250,141737,22.7,1,77
space,UCqySL8y1tfMP0dw4SMt_y2Q,Universe Explained ,28900,28,336,425,1.26,0,0.0,145,2470,17.0,8,42
psychology,UCHacVMLp7bHDC7e4eoPi9Dw,Psychology Simplified,274000,50,16873,64496,3.82,5,10.0,894,1050306,1174.8,0,146
psychology,UC6IbiADu8zqp6_wO1GM4_KA,Psychology Insight,40000,44,3293,120114,36.48,5,11.4,716,2887546,4032.9,3,152
psychology,UCAupfwD1A8jq7egFXeGoOGw,Simple Psychology Explained,37500,37,3389,63853,18.84,2,5.4,324,1494547,4612.8,43,171
psychology,UCX1CEiUmwtGyp9jb1kJ2bKA,Psychology with Ben,13300,23,586,57612,98.31,2,8.7,190,1090806,5741.1,3,199
psychology,UCL6ipVBa8mVsKHBYXbyn0HQ,Psychology Explained ,13000,29,364,26832,73.71,1,3.4,39,763551,19578.2,0,103
psychology,UCTMJQHW5TKZp8HIV-IzwfEA,Psychology Simply Decoded,15200,50,354,17388,49.12,1,2.0,13,743323,57178.7,1,143
psychology,UCHUsr-38lxKtvgQZn2NGoOw,Psychology explain mode,6590,50,244,541,2.21,0,0.0,20,3063,153.2,6,285
psychology,UChLo1u_EQKQDUKxkW2G3UOg,Psychology Wellness,5730,49,953,9721,10.2,0,0.0,79,92759,1174.2,15,107
psychology,UCM1gEmQyz2RaQ4BvYg-gZWg,the Psychology Guy,11900,50,352,2076,5.91,0,0.0,65,58912,906.3,1,206
psychology,UCNJbEMAcPPizYyrfnVYA9MQ,Psychology Decoded,5570,16,150,189,1.27,0,0.0,65,388,6.0,31,135
psychology,UC1-LFaGDYzFbBJNtp91RnpA,The Psychology Explained With Caleem,1480,35,26,42,1.6,0,0.0,0,242,242.0,0,259
history,UCdsNdRqJYgnwrJ_X9xPayFQ,143 Explained,76600,47,76585,241188,3.15,22,46.8,752,2951974,3925.5,73,305
history,UC1I3jchpTW8mvQkzV-fmFoQ,Art History Explained,16700,8,112326,109973,0.98,5,62.5,3699,216676,58.6,39,280
history,UCSl58G5qxGSJXNNn1Vw6O-w,Civilizations Explained,4810,42,2296,20134,8.77,2,4.8,254,184942,728.1,3,162
history,UCwOkZmZFeiAiaxBPrpqpIpA,Explain History,2740,50,3337,7663,2.3,0,0.0,172,76083,442.3,2,75
