niche,channel_id,title,subs,total_views,video_count,age_days,passed_gates
space,UCxw1XtgyS6kw2JWSbrDS6xA,GALAXIES EXPLAINED,60,17545,25,2337,0
space,UClxmSbBQNju_sNXsZeEua5Q,Space Explained,1,46,4,1838,0
space,UCWZJoPUZqJP1ExJA42E5Naw,Space Explained,24,26299,17,3185,0
space,UCp-Q2oPC_KL75_x59D07TFg,Cosmos Explained,6,357,1,28,0
space,UCpmiNCyI5taPiKlQc792RMQ,Deep Space Explained,7,44,3,554,0
space,UCWDQG2gfbJoJtZB5uQRdGpw,Space Explained,368,24337,36,301,0
space,UCvUPtqDz-iT_8i7U3R4gNgg,Deep Space Explained,437,109443,162,3095,0
space,UCT4xX3jiHXK_XdaHfyzvLyA,Space Explained,369,356367,138,348,0
space,UCVHUZD2xR7bvrcqGTTLCZFA,Dark Space Explained,35,5038,6,108,0
space,UCIGQpNLFA5QPIWMpDwrsLlw,Space in Minutes | Explained,232,74973,43,198,0
space,UCm379MXfvvcHSvX5S5EIOiQ,Space Explained,31,39272,37,179,0
space,UCG9ShGbASoiwHwFcLcAh9EA,SEA,773000,109508186,137,3988,0
space,UC1M3idms2Gd4wSRHD4LWpFA,Space Explained,117,120565,229,509,0
space,UC7_gcs09iThXybpVgjHZ_7g,PBS Space Time,3510000,545476375,445,4187,0
space,UCb8OWwQUz7FfxNGiaE7YPgQ,Space Explained,20600,46773,14,1430,1
space,UC2taj8m6AKja_4BEM_Ald9g,Cosmic - Space Documentaries,75300,17953013,177,1601,0
space,UCddA-gXXDvO6oT0PESd2Pqw,Space Simply Explained,2,139,3,23,0
space,UCA0vmaTK1TDyL6CwJWxP0-Q,Space explained ,3,40,7,959,0
space,UCr7VGzU1kODYicEWeth7h6Q,Space Explained Fast,0,559,53,138,0
space,UCRbJHuRyL0CAalWjW3Pq-OA,Space Explained,10,211,3,21,0
space,UCi15SxQCBluws1jJhGwKgIQ,Space Explained Slowly,29,2232,16,59,0
space,UCEjtrxTA6Q4adJsCwndbnHw,Infocat: Space Explained,13,942,24,182,0
space,UClWw4e-5aGZvCwZcuiPz9rA,Space Pedagogy: Universe Explained,7430,479623,412,5351,0
space,UCQuaVbvDTPB0US4oFx5mRLQ,Space Explained,9910,7461306,7,252,1
space,UC59YFNxgvfReLItuA59o_OQ,Space Explained,23,163,4,2749,0
space,UC29GIjZ5Qyr8jOAv5ollBBg,Space Explained,13,135,2,2078,0
space,UCzDx99m72LTKmXi8DW8Shlg,SB Space Explained,14,2955,6,163,0
space,UCnWvxZUeoUEC1DZ2aNH-aYw,Deep Space Explained,40,11263,27,137,0
space,UCyKi4ubJIA6mmeCZUeUcb8A,Space Explained Daily,9,2422,26,17,0
