niche,channel_id,title,subs,n_long,median,mean,skew,hits,hit_rate,min,max,spread,newest_days,oldest_days,uploads_playlist
space,UCqySL8y1tfMP0dw4SMt_y2Q,Universe Explained ,28900,28,336,425,1.26,0,0.0,145,2470,17.0,8,42,UUqySL8y1tfMP0dw4SMt_y2Q
space,UCZafACCwrNWI1r4yDjIlnow,The Space Explained,775,15,505,6495,12.86,0,0.0,74,49209,665.0,5,78,UUZafACCwrNWI1r4yDjIlnow
space,UCNZegH5HQPx_chNsPqJw1Rw,Sleepy Science Channel,319000,50,21539,29915,1.39,1,2.0,6250,141741,22.7,1,77,UUNZegH5HQPx_chNsPqJw1Rw
space,UCM1FTOrcNeroqccveNmiKkg,Deep Space Explained,641,21,96,238,2.48,0,0.0,9,1917,213.0,148,197,UUM1FTOrcNeroqccveNmiKkg
psychology,UCQfYuOrl6ETzCr9QJTBqxfw,Psychology Studio,5070,50,1854,3432,1.85,0,0.0,194,25891,133.5,0,85,UUQfYuOrl6ETzCr9QJTBqxfw
psychology,UCL6ipVBa8mVsKHBYXbyn0HQ,Psychology Explained ,13000,29,364,26832,73.71,1,3.4,39,763553,19578.3,0,103,UUL6ipVBa8mVsKHBYXbyn0HQ
psychology,UCNJbEMAcPPizYyrfnVYA9MQ,Psychology Decoded,5570,16,150,189,1.27,0,0.0,65,388,6.0,31,135,UUNJbEMAcPPizYyrfnVYA9MQ
psychology,UChLo1u_EQKQDUKxkW2G3UOg,Psychology Wellness,5730,49,953,9721,10.2,0,0.0,79,92759,1174.2,15,107,UUhLo1u_EQKQDUKxkW2G3UOg
psychology,UCX1CEiUmwtGyp9jb1kJ2bKA,Psychology with Ben,13300,23,586,57612,98.31,2,8.7,190,1090816,5741.1,3,199,UUX1CEiUmwtGyp9jb1kJ2bKA
psychology,UCM1gEmQyz2RaQ4BvYg-gZWg,the Psychology Guy,11900,50,352,2076,5.91,0,0.0,65,58912,906.3,1,206,UUM1gEmQyz2RaQ4BvYg-gZWg
psychology,UCTMJQHW5TKZp8HIV-IzwfEA,Psychology Simply Decoded,15200,50,354,17388,49.12,1,2.0,13,743323,57178.7,1,143,UUTMJQHW5TKZp8HIV-IzwfEA
psychology,UCAupfwD1A8jq7egFXeGoOGw,Simple Psychology Explained,37500,37,3389,63853,18.84,2,5.4,324,1494547,4612.8,43,171,UUAupfwD1A8jq7egFXeGoOGw
psychology,UCHUsr-38lxKtvgQZn2NGoOw,Psychology explain mode,6590,50,244,541,2.21,0,0.0,20,3063,153.2,6,285,UUHUsr-38lxKtvgQZn2NGoOw
