niche,channel_id,title,subs,n_long,median,mean,skew,hits,hit_rate,min,max,spread,newest_days,oldest_days
borders,UCw7PLDTbcNpKqL0kU5U5t9w,Jojo's Cross Borders,1380,11,67,1519,22.67,0,0.0,16,14535,908.4,10,81
borders,UCs-onzY-MTuDKbyxfOOh6VA,Travel Beyond Borders,1190,39,124,1286,10.37,0,0.0,12,23116,1926.3,7,207
maps,UCFbkvi0Syfeuhs5XOQLk0jg,Geo Study,840000,18,56652,154206,2.72,5,27.8,11123,687064,61.8,2,428
maps,UCzHIoLdss_1M_Iw6OxRKKEg,geography,3490,27,672,30795,45.83,3,11.1,82,338437,4127.3,0,48
howitworks,UCpW8_HDOr9BJlG3E1W4UWiw,Rich | The Leverage Report,6770,19,439,24557,55.94,1,5.3,92,449302,4883.7,1,150
howitworks,UCpsRw5MDq22VKifXdnvBVug,Explaining Acro,1170,31,331,645,1.95,0,0.0,40,2583,64.6,50,438
howitworks,UCLGqiTAyxrDsnZnR6CiJW3g,How Science Actually Works,2640,29,1172,2749,2.35,0,0.0,365,21160,58.0,3,259
etymology,UCGEP00EWNwyfVbEYov90XVg,LinguisticsFriend,2610,12,4625,8209,1.77,0,0.0,1170,37286,31.9,712,887
urban,UCryGXpN-Jo0JfI1j7WKhNMQ,TCD,329000,37,396879,430185,1.08,32,86.5,46030,1350051,29.3,6,188
urban,UCfLW79cxQORdZ5V3xe0Hs4A,Impart,2490,41,383,2002,5.23,0,0.0,40,24044,601.1,25,1006
urban,UCgkeXJ0beDGPUfbFkv1dDQA,Aishwarya NIT Rourkela,925000,20,16068,19152,1.19,0,0.0,4939,75760,15.3,1,89
urban,UCv-KPNvoV3sESDIAA1CxNCA,Tidal Takedown,660000,49,798724,1230651,1.54,48,98.0,40319,8721557,216.3,1,519
inventions,UCWUln7jfmVWr7Q_sxFaI5tg,EAT'S HISTORY,13200,43,13887,29059,2.09,4,9.3,593,172799,291.4,13,857
inventions,UCK-HHyVCfKYzhxVOJgBt73w,Keerthi,2950000,11,167761,275473,1.64,10,90.9,89072,622226,7.0,4,106
inventions,UCZsGgu0DMk5k9Z1je3leqVg,History Mysteries,1060,50,77,143,1.86,0,0.0,18,722,40.1,354,486
inventions,UCowiEZnCh7iVIjbAZ8Ej0Sw,Everything History,10700,50,114,459,4.01,0,0.0,16,11359,709.9,0,35
inventions,UCLQO5wR0sMKur4zLUtimVoA,Invention Flex,5290,11,121,2325,19.21,0,0.0,27,8464,313.5,35,127
everyday,UCu79rah1emyfUD0YVx2hbIQ,Daily Things Simplified,2060,21,42,91,2.17,0,0.0,5,408,81.6,35,282
everyday,UC5JfYKEgNk81grDM5i1XbVA,Everyday Things Explained,2570,25,150,7546,50.31,1,4.0,18,179524,9973.6,3,147
everyday,UCUWBbnmE8KOocMWj7LqCBqw,Ordinary Explained,1800,40,116,9453,81.14,1,2.5,6,368722,61453.7,8,150
