channel_id,handle,title,subs,n,median,mean,skew,hit_rate,min_views,max_views,repeatable,views_per_sub,operator,operator_evidence,verdict,verdict_reason,criteria_version,status,notes,source,first_seen,last_checked
UCdr_45nR1o2P4ycckLh1xOQ,,Kalam Kids - Learning Islam & Arabic for Kids,316000,38,1330195,1872361,1.41,92.1,9873,5962039,True,4.21,unknown,,watch,"repeatable, but 316,000 subs is above 150,000 - its numbers cannot be extrapolated to a new channel",2026-07-30.2,,,scan-rev2-channel-profiles.csv#kids_learning,2026-07-30,2026-07-30
UCBeZYVlqOeSSlrBSXl4aTig,,Pilot Debrief,1030000,43,788580,1102951,1.4,100.0,159071,6562928,True,0.77,unknown,,reject,"0.8 views per subscriber - it is not being served beyond its own audience, which is the only way a new channel grows",2026-07-30.2,watch,"C-021 strongest niche but 1.03M subs, unreachable; advertiser-suitability risk",scan-rev2-channel-profiles.csv#aviation,2026-07-30,2026-07-30
UCXtu3iJQRFvLnOi9ETQKpUg,,Joe Bart Philosophy,878000,50,554352,713799,1.29,100.0,157135,3018892,True,0.63,unknown,,reject,"0.6 views per subscriber - it is not being served beyond its own audience, which is the only way a new channel grows",2026-07-30.2,watch,"repeatable but 878k subs, unreachable",scan-rev2-channel-profiles.csv#philosophy,2026-07-30,2026-07-30
UC_ChdwB3-d8CfWi53A3vbGA,,Air Crash Investigation,237000,43,478896,763598,1.59,83.7,22779,4485771,True,2.02,unknown,,watch,"repeatable, but 237,000 subs is above 150,000 - its numbers cannot be extrapolated to a new channel",2026-07-30.2,watch,C-006 age-confounded; excluded from cross-channel test,scan-rev2-channel-profiles.csv#aviation,2026-07-30,2026-07-30
UCZJxnraUMX4BXGCFTZO14xw,someunfilteredguy,someunfilteredguy,336000,10,338064,1083811,3.21,70.0,6825,3927568,False,1.01,unknown,,reject,"lottery-shaped: mean is 3.2x the median, above 3.0",2026-07-30.2,,,https://www.threads.net/@onlinemoneyai1/post/DI4jWJoyuNT,2026-07-30,2026-07-30
UCxa-R6YNIxqlbdVrx4nmOzA,beyondmilitary,Beyond Military,573000,50,278308,473124,1.7,84.0,36347,2302934,True,0.49,unknown,"no personal-brand signals found — this is not proof of a faceless operation, only that none were detected",reject,"0.5 views per subscriber - it is not being served beyond its own audience, which is the only way a new channel grows",2026-07-30.2,,,manual: user request,2026-08-01,2026-08-01
UCxH2HgyINJnROn6TgrTzJkw,howmoneyworksuncut,How Money Works Uncut,113000,48,168484,250769,1.49,68.8,28609,2501791,True,1.49,unknown,,exemplar,"consistent and reachable: 113,000 subs, median 168,484, 1.5 views per subscriber, skew 1.5",2026-07-30.2,,,scan-rev2-channel-profiles.csv#economics,2026-07-30,2026-07-30
UCbrSe4uBIeqJweOYnJAOsrw,EverythingProfessor,EverythingProfessor,576000,50,123184,440240,3.57,60.0,10971,4177067,False,0.21,unknown,"no personal-brand signals found — this is not proof of a faceless operation, only that none were detected",reject,"lottery-shaped: mean is 3.6x the median, above 3.0",2026-07-30.2,,,channel: @@EverythingProfessor,2026-08-01,2026-08-01
UC1I3jchpTW8mvQkzV-fmFoQ,,Art History Explained,16700,9,111040,98220,0.88,55.6,1223,216954,True,6.65,personal,tip jar: ko-fi.com; personal publication: substack.com (C-048),watch,"repeatable and reachable, but it is a personal brand rather than a faceless operation (tip jar: ko-fi.com; personal publication: substack.com (C-048)) - its numbers may rest on the operator, not the format",2026-07-30.2,watch,Christopher P Jones narrating his own work; not a faceless operation,C034-falsifier-profiles.csv#art_bio,2026-07-30,2026-07-30
UCdsNdRqJYgnwrJ_X9xPayFQ,,143 Explained,76600,47,76585,241190,3.15,46.8,752,2952021,False,1.0,unknown,,reject,"lottery-shaped: mean is 3.1x the median, above 3.0",2026-07-30.2,,,scan-rev2-channel-profiles.csv#history,2026-07-30,2026-07-30
UCJjUlbs-ZEo4draiZzz66sQ,,WILD NATURE - Nature animal documentary,221000,49,76321,85788,1.12,32.7,5312,316188,False,0.35,unknown,,reject,"0.3 views per subscriber - it is not being served beyond its own audience, which is the only way a new channel grows",2026-07-30.2,,,scan-rev2-channel-profiles.csv#animals,2026-07-30,2026-07-30
UCFbkvi0Syfeuhs5XOQLk0jg,,Geo Study,840000,19,62006,150297,2.42,31.6,1043,683764,False,0.07,unknown,,reject,"0.1 views per subscriber - it is not being served beyond its own audience, which is the only way a new channel grows",2026-07-30.2,,,scan-rev2-channel-profiles.csv#geography,2026-07-30,2026-07-30
UCQmp1YRdjbLNBJfSQX7sYsw,,Imagine the Physics,69200,15,57374,149957,2.61,46.7,18993,501533,True,0.83,unknown,,reject,"0.8 views per subscriber - it is not being served beyond its own audience, which is the only way a new channel grows",2026-07-30.2,watch,C-014 refuted here - hits and flops share identical opening structure,scan-rev2-channel-profiles.csv#physics,2026-07-30,2026-07-30
UCrhrgnyufxBDV9edSuzukDQ,UCrhrgnyufxBDV9edSuzukDQ,The Analyst,599000,50,56764,129379,2.28,26.0,15699,1100442,False,0.09,unknown,"no personal-brand signals found — this is not proof of a faceless operation, only that none were detected",reject,"0.1 views per subscriber - it is not being served beyond its own audience, which is the only way a new channel grows",2026-07-30.2,,,channel: @https://www.youtube.com/channel/UCrhrgnyufxBDV9edSuzukDQ,2026-08-01,2026-08-01
UCOBmxmWH92jM7o-Nc9fmThw,,Food Science World,34500,6,54258,61622,1.14,33.3,2406,137395,False,1.57,unknown,,reject,only 6 long-form videos; need 8 to judge,2026-07-30.2,,,scan-rev2-channel-profiles.csv#food_science,2026-07-30,2026-07-30
UCsREDGnfVpyEmY1JhEWg6qQ,,Ali Hassan,60500,37,51749,57998,1.12,13.5,6373,179134,False,0.86,unknown,,reject,"0.9 views per subscriber - it is not being served beyond its own audience, which is the only way a new channel grows",2026-07-30.2,,,scan-rev2-channel-profiles.csv#philosophy,2026-07-30,2026-07-30
UCZU4FTbN8itqUkaEwvwemxg,truecrimeforensicmanipur,True Crime & Forensic Manipur,8340,11,45548,43148,0.95,9.1,10675,110304,False,5.46,unknown,,exemplar,"consistent and reachable: 8,340 subs, median 45,548, 5.5 views per subscriber, skew 0.9",2026-07-30.2,,,scan-rev2-channel-profiles.csv#crime,2026-07-30,2026-07-30
UCMOQkZ0IMq1qb2XTC_yLlEQ,,Plane Curious,77600,50,45250,53956,1.19,12.0,4464,192303,False,0.58,unknown,,reject,"0.6 views per subscriber - it is not being served beyond its own audience, which is the only way a new channel grows",2026-07-30.2,,,scan-rev2-channel-profiles.csv#aviation,2026-07-30,2026-07-30
UCBsp9Vhj8RCgo6NRrWkgkhA,,Engineering Insiders,78900,26,43690,74733,1.71,23.1,5484,331360,False,0.55,unknown,,reject,"0.6 views per subscriber - it is not being served beyond its own audience, which is the only way a new channel grows",2026-07-30.2,,,C034-falsifier-profiles.csv#software,2026-07-30,2026-07-30
UCiwkWn5Q01AX3YdFdLwu09g,,Wildlife Unseen Explained,66700,13,42869,524995,12.25,23.1,1023,4589085,False,0.64,unknown,,reject,"lottery-shaped: mean is 12.2x the median, above 3.0",2026-07-30.2,,,scan-rev2-channel-profiles.csv#animals,2026-07-30,2026-07-30
UCBhAW9FzB_qhzxbkcqXqLPQ,techeexplained,Tech Explained,13200,14,38824,61359,1.58,21.4,2453,216377,False,2.94,unknown,,exemplar,"consistent and reachable: 13,200 subs, median 38,824, 2.9 views per subscriber, skew 1.6",2026-07-30.2,,,scan-rev2-channel-profiles.csv#technology,2026-07-30,2026-07-30
UClN2xNiyHgZVaFBVi706nkA,,English life stories,101000,47,37167,50456,1.36,8.5,9890,257199,False,0.37,unknown,,reject,"0.4 views per subscriber - it is not being served beyond its own audience, which is the only way a new channel grows",2026-07-30.2,,,scan-rev2-channel-profiles.csv#language,2026-07-30,2026-07-30
UCQLu9FjXUJvejkRwAbD82uw,,Fantasy Mathematics,217000,40,32318,29173,0.9,0.0,1832,67171,False,0.15,unknown,,reject,"0.1 views per subscriber - it is not being served beyond its own audience, which is the only way a new channel grows",2026-07-30.2,,,scan-rev2-channel-profiles.csv#math,2026-07-30,2026-07-30
UCJsxodKfjSKkGuYgClKKNiw,,Rumi English Stories,3990,13,29746,103951,3.49,15.4,514,911149,False,7.46,unknown,,reject,"lottery-shaped: mean is 3.5x the median, above 3.0",2026-07-30.2,,,scan-rev2-channel-profiles.csv#language,2026-07-30,2026-07-30
UCtnItzU7q_bA1eoEBjqcVrw,,Shankar Nath,317000,49,29096,41591,1.43,8.2,5705,240437,False,0.09,unknown,,reject,"0.1 views per subscriber - it is not being served beyond its own audience, which is the only way a new channel grows",2026-07-30.2,,,C034-falsifier-profiles.csv#investing,2026-07-30,2026-07-30
UC3fVsjOEcQDd0pR1dg390eA,,Physics by Prateek Jain,99300,20,28260,39076,1.38,10.0,2400,138309,False,0.28,unknown,,reject,"0.3 views per subscriber - it is not being served beyond its own audience, which is the only way a new channel grows",2026-07-30.2,,,scan-rev2-channel-profiles.csv#physics,2026-07-30,2026-07-30
UCc0mgUbWeVc_lNmMnawiv4g,,Viral Maths ,572000,16,26768,63778,2.38,25.0,2721,299281,False,0.05,unknown,,reject,"0.0 views per subscriber - it is not being served beyond its own audience, which is the only way a new channel grows",2026-07-30.2,,,scan-rev2-channel-profiles.csv#math,2026-07-30,2026-07-30
UCZNStI0lZrdJtQed7h8Ha5Q,narrativearthistory,Narrative Art History,23300,16,26106,47871,1.83,6.2,2966,336730,False,1.12,unknown,,exemplar,"consistent and reachable: 23,300 subs, median 26,106, 1.1 views per subscriber, skew 1.8",2026-07-30.2,watch,"C-035: larger than the exemplar, 6x lower views/sub",C034-falsifier-profiles.csv#art_history2,2026-07-30,2026-07-30
UCEcaRr-loeUCvjSX_O9C2eg,,English Simple Stories,57800,49,25390,44341,1.75,8.2,1526,478393,False,0.44,unknown,,reject,"0.4 views per subscriber - it is not being served beyond its own audience, which is the only way a new channel grows",2026-07-30.2,,,scan-rev2-channel-profiles.csv#language,2026-07-30,2026-07-30
UCmtxllbImmKucwetmr1DTEw,techexplainerguy,Tech Explainer Guy,10200,27,24663,62842,2.55,22.2,46,293861,False,2.42,unknown,,exemplar,"consistent and reachable: 10,200 subs, median 24,663, 2.4 views per subscriber, skew 2.5",2026-07-30.2,,,scan-rev2-channel-profiles.csv#technology,2026-07-30,2026-07-30
UCNZegH5HQPx_chNsPqJw1Rw,,Sleepy Science Channel,319000,50,21539,29915,1.39,2.0,6250,141741,False,0.07,unknown,,reject,"0.1 views per subscriber - it is not being served beyond its own audience, which is the only way a new channel grows",2026-07-30.2,,,scan-rev2-channel-profiles.csv#space,2026-07-30,2026-07-30
UCafx97cEzi9aSXRJ040vb5Q,,Myth Explainer,18400,35,21434,78805,3.68,17.1,2592,790223,False,1.16,unknown,,reject,"lottery-shaped: mean is 3.7x the median, above 3.0",2026-07-30.2,,,scan-rev2-channel-profiles.csv#mythology,2026-07-30,2026-07-30
UCeh64-YS9-WB5YwZGKB_cjg,,Crime Lens - True Crime,22100,50,19664,54711,2.78,16.0,483,398443,False,0.89,unknown,,reject,"0.9 views per subscriber - it is not being served beyond its own audience, which is the only way a new channel grows",2026-07-30.2,,,scan-rev2-channel-profiles.csv#crime,2026-07-30,2026-07-30
UCiLYSOEmbH5cVD7aoWbFcoQ,pepeexplainscars,Pepe Explains Cars,5530,11,19664,45327,2.31,9.1,66,303623,False,3.56,unknown,,exemplar,"consistent and reachable: 5,530 subs, median 19,664, 3.6 views per subscriber, skew 2.3",2026-07-30.2,,,scan-rev2-channel-profiles.csv#cars,2026-07-30,2026-07-30
UCVSFPHpniGRq8pGC_gdJGxQ,,Leo English Stories,65400,50,17869,152057,8.51,18.0,658,2775707,False,0.27,unknown,,reject,"lottery-shaped: mean is 8.5x the median, above 3.0",2026-07-30.2,,,scan-rev2-channel-profiles.csv#language,2026-07-30,2026-07-30
UCZhlnjJSWiebeJ8adCtoRrQ,chinasurvivalguide,China Survival Guide,2940,9,17043,22516,1.32,0.0,6104,64141,False,5.8,unknown,,exemplar,"consistent and reachable: 2,940 subs, median 17,043, 5.8 views per subscriber, skew 1.3",2026-07-30.2,,,scan-rev2-channel-profiles.csv#survival,2026-07-30,2026-07-30
UCHacVMLp7bHDC7e4eoPi9Dw,,Psychology Simplified,274000,50,16873,64497,3.82,10.0,926,1050306,False,0.06,unknown,,reject,"lottery-shaped: mean is 3.8x the median, above 3.0",2026-07-30.2,,,scan-rev2-channel-profiles.csv#psychology,2026-07-30,2026-07-30
UCtcZjqb3O-Z98E8_1wXX-_Q,,Real Crime Psychology,422000,44,16505,49903,3.02,11.4,7309,331667,False,0.04,unknown,,reject,"lottery-shaped: mean is 3.0x the median, above 3.0",2026-07-30.2,,,scan-rev2-channel-profiles.csv#crime,2026-07-30,2026-07-30
UCfz1PX_OTrVCKVgJRkoOYBw,aviationexplainedd,Aviation Explained,3020,21,15097,31353,2.08,9.5,173,169665,False,5.0,unknown,,exemplar,"consistent and reachable: 3,020 subs, median 15,097, 5.0 views per subscriber, skew 2.1",2026-07-30.2,,,scan-rev2-channel-profiles.csv#aviation,2026-07-30,2026-07-30
UC0gHbWz7OyEa-kz429hzx1Q,,Sleeping Philosophy,26800,48,13263,32423,2.44,12.5,2365,157697,False,0.49,unknown,,reject,"0.5 views per subscriber - it is not being served beyond its own audience, which is the only way a new channel grows",2026-07-30.2,,,scan-rev2-channel-profiles.csv#philosophy,2026-07-30,2026-07-30
UCdseO93ajD_kwtVvaZCqQGg,,Greek Mythology Explained,1970,6,12996,11772,0.91,0.0,3049,15886,False,6.6,unknown,,reject,only 6 long-form videos; need 8 to judge,2026-07-30.2,,,scan-rev2-channel-profiles.csv#mythology,2026-07-30,2026-07-30
UCeIbI1DrcHCWSMKV0Bzy9xw,,Aircraft Design Toolbox,20600,38,11960,27190,2.27,5.3,611,244846,False,0.58,unknown,,reject,"0.6 views per subscriber - it is not being served beyond its own audience, which is the only way a new channel grows",2026-07-30.2,,,scan-rev2-channel-profiles.csv#aviation,2026-07-30,2026-07-30
UCdR3Ms08oSCzih6p0FsDRcg,,LIVING MYTHOLOGY,34000,22,11666,12620,1.08,0.0,329,37392,False,0.34,unknown,,reject,"0.3 views per subscriber - it is not being served beyond its own audience, which is the only way a new channel grows",2026-07-30.2,,,scan-rev2-channel-profiles.csv#mythology,2026-07-30,2026-07-30
UCNKyZaaHYoAZVUuDlLOTc8w,,Investing with Harsh & Apoorva,21100,38,10555,18512,1.75,2.6,2865,207508,False,0.5,unknown,,reject,"0.5 views per subscriber - it is not being served beyond its own audience, which is the only way a new channel grows",2026-07-30.2,,,C034-falsifier-profiles.csv#investing,2026-07-30,2026-07-30
UCg0fh5NKq1texA56gCZ6CMQ,,Cars Explained,20300,36,10552,103883,9.85,13.9,486,1608458,False,0.52,unknown,,reject,"lottery-shaped: mean is 9.8x the median, above 3.0",2026-07-30.2,,,scan-rev2-channel-profiles.csv#cars,2026-07-30,2026-07-30
